Country,Year,Прогноз ВВП від МВФ,% ВВП 2025,% ВВП _   (2 роки)),% ВВП _   (3 роки)),% ВВП _   (4 роки)),% ВВП (ML)
Honduras,2025,"$38172,00","7,13%","5,08%","5,93%","8,18%","-1,48%"
Hong Kong,2025,"$423999,00","0,13%","2,24%","-0,70%","0,16%","-2,77%"
Hungary,2025,"$237070,00","2,27%","5,21%","0,84%","2,76%","-2,91%"
Iceland,2025,"$35309,00","4,63%","2,30%","3,30%","5,47%","-0,25%"
India,2025,"$4187017,00","2,20%","0,90%","0,15%","2,68%","-2,86%"
Indonesia,2025,"$1429743,00","3,79%","0,48%","3,08%","4,52%","1,87%"
Iran,2025,"$341013,00","34,11%","17,81%","24,32%","29,89%","7,91%"
Iraq,2025,"$258020,00","16,48%","5,34%","16,27%","17,08%","5,12%"
Ireland,2025,"$598840,00","2,95%","-1,16%","-0,93%","3,55%","-0,74%"
Israel,2025,"$583361,00","-0,43%","-6,34%","-4,39%","-0,54%","-2,27%"
Italy,2025,"$2422855,00","2,89%","3,81%","0,81%","3,49%","-2,43%"
Ivory Coast,2025,"$94483,00","0,09%","2,01%","-2,02%","0,11%","-1,26%"
Jamaica,2025,"$21411,00","2,31%","1,90%","3,99%","2,80%","-0,48%"
Japan,2025,"$4186431,00","-7,16%","-6,97%","-11,81%","-9,83%","1,76%"
Jordan,2025,"$56102,00","0,09%","-0,27%","-0,15%","0,11%","3,19%"
Kazakhstan,2025,"$300538,00","6,14%","6,16%","6,70%","7,13%","-1,87%"
Kenya,2025,"$131673,00","-3,01%","-5,76%","-5,27%","-3,91%","-2,44%"
Kiribati,2025,"$312,00","6,22%","4,98%","1,43%","7,21%","-2,96%"
Kosovo,2025,"$11274,00","6,96%","7,32%","4,54%","8,00%","0,16%"
Kuwait,2025,"$153101,00","11,86%","-3,91%","6,49%","12,91%","2,58%"
Kyrgyzstan,2025,"$19849,00","5,17%","5,02%","8,36%","6,07%","-5,61%"
Laos,2025,"$16322,00","-4,74%","-0,25%","-7,57%","-6,30%","0,94%"
Latvia,2025,"$45535,00","1,83%","2,23%","-0,10%","2,24%","0,05%"
Lesotho,2025,"$2404,00","-0,95%","-3,28%","-6,00%","-1,20%","0,60%"
Liberia,2025,"$5166,00","3,75%","2,62%","3,54%","4,48%","4,40%"
Libya,2025,"$47484,00","-9,78%","-14,07%","-5,47%","-13,92%","0,15%"
Lithuania,2025,"$89192,00","4,00%","3,82%","2,84%","4,76%","0,31%"
Luxembourg,2025,"$96613,00","2,10%","3,40%","-0,93%","2,56%","2,34%"
Macau,2025,"$53354,00","13,25%","27,37%","14,60%","14,21%","-4,42%"
Madagascar,2025,"$18708,00","0,09%","-0,69%","-0,66%","0,12%","1,36%"
Malawi,2025,"$13959,00","-12,26%","-21,34%","-20,14%","-18,10%","-1,12%"
Malaysia,2025,"$444984,00","-0,25%","-4,46%","-1,94%","-0,31%","-0,58%"
Maldives,2025,"$7480,00","8,67%","0,10%","3,42%","9,78%","0,25%"
Mali,2025,"$23208,00","3,69%","5,84%","3,32%","4,41%","3,23%"
Malta,2025,"$25750,00","3,62%","5,79%","1,45%","4,32%","1,29%"
Marshall Islands,2025,"$297,00","-1,72%","-0,79%","-3,26%","-2,19%","0,28%"
Mauritania,2025,"$11470,00","-0,84%","-1,25%","-1,61%","-1,06%","1,57%"
Mauritius,2025,"$15495,00","2,67%","3,73%","5,13%","3,23%","-0,93%"
Mexico,2025,"$1692640,00","19,48%","19,01%","18,67%","19,58%","-0,44%"
Moldova,2025,"$19462,00","3,52%","4,04%","2,28%","4,22%","-1,98%"
Mongolia,2025,"$25804,00","4,38%","6,73%","5,35%","5,19%","0,28%"
Montenegro,2025,"$8562,00","5,53%","6,04%","4,03%","6,47%","-4,69%"
Morocco,2025,"$165835,00","0,02%","2,00%","-3,29%","0,02%","-4,54%"
Mozambique,2025,"$23771,00","2,36%","-0,45%","2,26%","2,86%","-3,24%"
Myanmar,2025,"$64944,00","-5,81%","-6,63%","-4,40%","-7,82%","4,95%"
Namibia,2025,"$14214,00","-0,05%","-2,96%","-3,60%","-0,06%","1,37%"
Nauru,2025,"$169,00","2,52%","-1,95%","-7,74%","3,05%","-0,92%"
Nepal,2025,"$46080,00","0,55%","-3,30%","-0,44%","0,69%","-0,52%"
Netherlands,2025,"$1272011,00","2,78%","4,26%","1,53%","3,36%","2,30%"
New Zealand,2025,"$248666,00","7,45%","5,89%","4,54%","8,51%","1,94%"
Nicaragua,2025,"$21155,00","3,15%","4,42%","3,77%","3,79%","-0,93%"
Niger,2025,"$21874,00","-0,27%","2,96%","0,06%","-0,34%","-2,27%"
Nigeria,2025,"$188271,00","-12,63%","-56,86%","-27,57%","-18,75%","21,48%"
North Macedonia,2025,"$17885,00","0,48%","1,96%","-1,04%","0,60%","0,97%"
Norway,2025,"$504276,00","3,75%","-15,09%","-4,38%","4,48%","5,45%"
Oman,2025,"$104351,00","9,82%","1,13%","9,42%","10,93%","5,20%"
Palau,2025,"$333,00","-3,11%","2,03%","0,24%","-4,05%","-9,20%"
Panama,2025,"$91675,00","5,27%","2,35%","4,28%","6,18%","0,64%"
Papua New Guinea,2025,"$32835,00","3,06%","-3,68%","3,15%","3,69%","3,13%"
Paraguay,2025,"$45465,00","1,77%","-0,93%","-0,08%","2,16%","1,40%"
Peru,2025,"$303293,00","2,94%","3,52%","3,31%","3,55%","-1,45%"
Philippines,2025,"$497495,00","-1,08%","-0,86%","-2,21%","-1,37%","-1,76%"
Poland,2025,"$979960,00","2,20%","5,64%","1,81%","2,68%","-7,00%"
Portugal,2025,"$321440,00","2,80%","4,96%","2,21%","3,38%","-2,91%"
Puerto Rico,2025,"$122522,00","2,22%","1,88%","2,97%","2,70%","3,28%"
Qatar,2025,"$222776,00","9,45%","-3,53%","7,28%","10,57%","1,67%"
Republic of the Congo,2025,"$15281,00","3,32%","0,65%","0,99%","3,98%","0,38%"
Romania,2025,"$403395,00","4,72%","7,74%","4,88%","5,57%","-3,67%"
Russia,2025,"$2076396,00","12,23%","1,29%","9,98%","13,26%","3,05%"
Rwanda,2025,"$14771,00","4,16%","-0,10%","5,02%","4,94%","0,93%"
Saint Kitts and Nevis,2025,"$1129,00","4,06%","5,28%","7,45%","4,83%","3,68%"
Saint Lucia,2025,"$2632,00","7,73%","-0,53%","6,03%","8,81%","2,00%"
Saint Vincent and the Grenadines,2025,"$1242,00","0,63%","2,35%","2,28%","0,78%","-1,57%"
Samoa,2025,"$1160,00","-2,24%","4,08%","-0,21%","-2,88%","0,34%"
San Marino,2025,"$2047,00","6,94%","6,51%","4,28%","7,98%","3,50%"
São Tomé and Príncipe,2025,"$864,00","4,02%","10,16%","5,58%","4,79%","-12,28%"
Saudi Arabia,2025,"$1083749,00","8,90%","-0,88%","7,77%","10,01%","3,06%"
Senegal,2025,"$34728,00","1,60%","3,03%","0,51%","1,97%","1,70%"
Serbia,2025,"$92549,00","6,73%","10,15%","6,32%","7,76%","0,29%"
Seychelles,2025,"$2198,00","8,89%","2,28%","11,31%","10,00%","0,35%"
Sierra Leone,2025,"$8386,00","-4,06%","-4,61%","-6,44%","-5,34%","0,69%"
Singapore,2025,"$564774,00","7,08%","0,60%","4,52%","8,13%","-0,46%"
Slovakia,2025,"$147031,00","2,00%","5,12%","0,91%","2,43%","-1,64%"
Slovenia,2025,"$75224,00","3,41%","5,67%","1,91%","4,09%","-0,26%"
Solomon Islands,2025,"$1898,00","-2,29%","-0,27%","-1,44%","-2,94%","2,63%"
Somalia,2025,"$12994,00","1,36%","1,81%","1,37%","1,67%","-1,59%"
South Africa,2025,"$410338,00","1,91%","-3,20%","-4,14%","2,33%","-0,79%"
South Korea,2025,"$1790322,00","5,19%","6,07%","3,12%","6,09%","3,92%"
South Sudan,2025,"$3998,00","31,15%","10,57%","26,32%","28,02%","26,92%"
Spain,2025,"$1799511,00","2,44%","4,24%","1,19%","2,96%","-2,70%"
Sudan,2025,"$31506,00","-11,46%","-19,33%","-18,49%","-16,73%","6,04%"
Suriname,2025,"$4506,00","8,63%","9,87%","11,34%","9,74%","0,11%"
Sweden,2025,"$620297,00","1,26%","0,89%","-2,98%","1,55%","3,24%"
Switzerland,2025,"$947125,00","3,93%","4,92%","3,52%","4,68%","1,35%"
Taiwan,2025,"$804889,00","0,79%","-1,73%","-2,60%","0,98%","2,08%"
Tajikistan,2025,"$14836,00","2,99%","3,59%","4,66%","3,60%","-4,03%"
Tanzania,2025,"$85977,00","-0,86%","-3,12%","-1,45%","-1,08%","-1,69%"
Thailand,2025,"$546224,00","-1,90%","-0,68%","-2,39%","-2,44%","0,56%"
Timor-Leste,2025,"$2115,00","-0,39%","-29,83%","-25,85%","-0,49%","11,54%"
Togo,2025,"$10023,00","3,78%","6,44%","2,92%","4,52%","1,83%"
Tonga,2025,"$568,00","-2,74%","-2,97%","-4,09%","-3,54%","7,14%"
Trinidad and Tobago,2025,"$26467,00","1,52%","-9,42%","-1,18%","1,86%","3,66%"
Tunisia,2025,"$56291,00","-0,14%","2,75%","-1,54%","-0,18%","0,44%"
Turkey,2025,"$1437406,00","5,85%","10,09%","7,86%","6,81%","-9,51%"
Turkmenistan,2025,"$89054,00","3,41%","-4,86%","3,00%","4,09%","-2,56%"
Tuvalu,2025,"$65,00","4,81%","3,13%","1,59%","5,68%","44,33%"
Uganda,2025,"$64277,00","-2,36%","-4,19%","-3,82%","-3,05%","-4,62%"
Ukraine,2025,"$205742,00","-1,22%","0,37%","-8,79%","-1,55%","-2,88%"
United Arab Emirates,2025,"$548598,00","7,45%","1,18%","6,52%","8,52%","0,17%"
United Kingdom,2025,"$3839180,00","2,00%","2,45%","-0,20%","2,44%","0,18%"
United States,2025,"$30507217,00","2,77%","1,33%","2,52%","3,34%","-25,98%"
Uruguay,2025,"$79731,00","10,15%","8,08%","10,61%","11,26%","3,56%"
Uzbekistan,2025,"$132484,00","-0,37%","-2,03%","-0,96%","-0,47%","-4,67%"
Vanuatu,2025,"$1267,00","-0,06%","0,97%","4,07%","-0,07%","-0,35%"
Venezuela,2025,"$108511,00","35,14%","21,94%","30,20%","30,52%","6,00%"
Vietnam,2025,"$490970,00","0,37%","-1,07%","0,61%","0,46%","-0,73%"
Yemen,2025,"$17401,00","7,41%","-0,73%","9,57%","8,48%","4,70%"
Zambia,2025,"$28910,00","0,83%","-15,58%","-2,31%","1,03%","3,04%"
Zimbabwe,2025,"$38172,00","-0,17%","-4,21%","-8,90%","-0,22%","0,38%"
